arg1,arg2,verb,sentence,verb_stem,label
us,examine,relationship,"It is way past time for us to examine our relationship with Japan , its treatment of U.S. inventors , and our treatment of patent applications sent from Japan or its local companies .",examine,0
who,drink,beverages,"Among those who drink alcoholic beverages world-wide , 8 % consume daily amounts that are damaging to their health and to society .",drink,0
management,examined,options,"But sources inside the company acknowledge that management has examined such options as a restructuring or recapitalization , or a friendly transaction with another company .",examine,0
whalers,planted,seedlings,"Whalers , traders and missionaries planted seedlings at settlements scattered along the chain .",plant,0
it,missed,opportunities,"It missed some opportunities , for example , because it had n't made sure AT & T 's salesmen received incentives for pushing its products .",miss,0
son,smooths,sand,"While Abideen reminisces , Abegi 's son smooths the sand to make a table and serves the simple , traditional meal that is all their hard life affords: a flat cake of mixed grains and a drink made of crumbled goat cheese , crushed dates and water .",smooth,0
rollback,destroyed,progress,The rollback destroyed this steady progress .,destroy,1
ibp,attacked,report,"IBP attacked the report as not factual and full of innuendo and as `` egotistical '' grandstanding by the subcommittee chairman , Rep. Tom Lantos -LRB- D . , Calif. -RRB- .",attack,0
governments,pumped,money,"During the past 10 years state and federal governments have pumped money into the railroad , whose main line track has been substantially improved .",pump,1
which,pump,billion,"The Australian experience might be of interest to the U.S . , which just agreed to pump nearly $ 1 billion of development aid into the Philippines .",pump,1
marchese,played,role,"At his sentencing , Mr. Marchese and his court-appointed lawyer , John J. Byrnes , complained that Mr. Marchese played a small role in the larger tax-shelter conspiracy orchestrated by Mr. Galanis .",play,1
us,plant,trees,"`` The new irrigation tunnel has allowed us to plant 6 , 000 willow trees and 600 apple trees and to earn money for the education of our children , '' she says , tears welling in her eyes .",plant,0
gimmick,attack,problems,"But critics complain that the blitz of big fines , which generally are settled for half or less of the proposed amount , was a bombastic gimmick that did little to attack the root problems of workplace illness and injury .",attack,0
he,missing,start,"But now he says he would rather risk missing the start of any bull market than being caught in another collapse , `` which would be unforgivable in the eyes of my clients . ''",miss,0
police,flooded,streets,And gang killings -- though still occurring at the rate of several a week -- have declined sharply since the police flooded the streets .,flood,0
cells,attack,cells,"If so , human cells may also make similar proteins -- potentially confusing immune cells that target foreign stress proteins and inducing them to attack a person 's own cells .",attack,1
it,fix,things,"Now it falls to William H. Spoor , the 65-year-old former chairman , to fix things .",fix,1
there,missing,ingredients,There also are missing ingredients elsewhere at General Foods .,miss,1
virus,attacked,laboratory,The virus attacked Argonne National Laboratory outside Chicago starting at 11:54 p.m. EST Wednesday and throughout the night .,attack,1
banks,poured,money,Securities firms and banks have long poured money into the coffers of state and local officials to improve their chances of getting municipal finance business .,pour,1
deficit,smooth,swings,"In effect , the deficit has helped smooth out the wide swings in U.S. demand .",smooth,0
ltd.,lend,company,ERG Resources Inc. said Australia 's Giant Resources Ltd. agreed to lend the company 43 million Canadian dollars -LRB- US $ 35.5 million -RRB- and provide security for a C $ 60 million gold loan planned by ERG .,lend,0
that,killed,zia,The Soviets also rate as prime suspects in the plane crash that killed President Zia ul-Haq in August ; Pakistanis have concluded the cause was unspecified sabotage .,kill,0
fish,knocked,unconscious,"As compressed water rushes through its gills , a fish is knocked unconscious .",knock,1
inc,targeting,midwest,"Luby 's Cafeterias Inc . , San Antonio , Texas , is targeting the Midwest after recently inching out of its Deep South stronghold into Arizona .",target,1
unit,fix,percentage,-- The justices refused to hear an antitrust appeal by actor Paul Newman and director George Roy Hill in a suit charging that MCA Inc. and its Universal City Studios Inc. unit conspired to fix the percentage of film revenue paid to artists .,fix,1
they,miss,chance,"Throughout training , Mr. Hynes and his classmates feared above all that they would wash out , or that the war would end , and that they 'd miss their chance at fighting the good fight .",miss,1
haraszti,examines,intimate,"Mr. Haraszti , a Budapest dissident and co-editor of the opposition journal Beszelo , examines the intimate and in his view `` symbiotic '' relationship between artists and the state .",examine,0
technologies,absorb,tampa,"Under the proposed merger , Wheelabrator Technologies will absorb Waste Management 's Tampa , Fla . , incinerator and three other waste-to-energy projects the company has under development in Broward County , Fla . ; Dakota County , Minn . ; and Falls Township , Pa .",absorb,0
that,filled,magazines,It was a fight that filled magazines and books and gave professors case histories for business schools .,fill,1
stalin,absorb,church,"In 1946 , Stalin in his campaign to break Ukrainian nationalism brutally forced the Russian Orthodox Church to absorb the Ukrainian Catholic Church .",absorb,1
bulldozers,plow,road,"In late June , for example , a group that included Teddy Roosevelt 's great-great-granddaughter stood down some bulldozers trying to plow a road through a moor near the island village of Siasconset .",plow,0
reuters,grab,piece,"Just as Reuters and Telerate want to grab a piece of Quotron 's territory by offering U.S. equities quotes , Quotron is eyeing their turf and mulling ways to offer pricing information on fixed-income instruments and foreign currencies .",grab,1
it,filling,wishes,"`` In doing so , it would be filling the wishes of the U.S. government , which also is concerned that the dollar could rise too quickly .",fill,1
companies,examining,possibilities,It said that the companies are examining the possibilities provided within the framework of securities law but that `` all these considerations have n't been in any way concluded . '',examine,0
